"","X","id","created_at","conceptPast","spectrumLeft","spectrumRight","valuePast","chapter","user","valuePresent","conceptPresent","feedback"
"1",1,1316,"2022-07-26 11:40:34.39172+00","the Fall of the Roman Empire","free","controlled",0.802123552,"ch2","b57b8f91-ccf5-4eab-8bbf-24d45066a3db",0.470042814,"the End of the British Empire","I placed the Fall of the Roman Empire here because ... it was less free than now but we are still controlled 
"
"2",2,1324,"2022-07-26 12:34:16.534929+00","Boudica","peaceful","violent",1,"ch2","579e431e-af56-4156-939c-d05548b6e257",0.759489906,"Theresa May","I placed Boudica here because ...murderer
"
"3",3,149,"2022-05-30 08:01:46.500494+00","Boudica","refined","crude",0.757777778,"ch2","a94206ed-29e4-4f4e-a8f4-a48c9ac3e7f5",0.20962963,"The suffragettes","I placed Boudica here because I think of her as tribal"
"4",4,169,"2022-06-01 13:32:57.404431+00","the Roman Empire","progressive","regressive",0.422962963,"ch2","9de40bec-67cc-4264-95f3-6208562098e9",0.348871061,"the European Union","I placed the Roman Empire here because it was ahead of its time in many ways"
"5",5,171,"2022-06-01 13:35:28.64597+00","the Fall of the Roman Empire","civilised","barbaric",0.412592593,"ch2","9de40bec-67cc-4264-95f3-6208562098e9",0.277777778,"Scottish independence","I placed the Fall of the Roman Empire here because I don't think it was very barbaric"
"6",6,190,"2022-06-05 19:51:34.690107+00","the Fall of the Roman Empire","skillful","incompetent",0.824641927,"ch2","dcd0ca9d-0869-4df5-bced-8a81b7b05aec",0.097296301,"Scottish independence","I think that the Roman empire fell due to more organic reasons and moods in the roman society rather than the incompetence of individual people in high places of roman politics. But i'm not sure"
"7",7,196,"2022-06-07 10:37:50.510916+00","the Roman Empire","skillful","incompetent",0.195945946,"ch2","c43e0964-0fb7-4225-9b56-eec170c2b1b9",0.191119691,"Nazi Germany","I placed the Roman Empire here because ... they were very successful at what they did - even though I don’t share the values associated with that ‘success’ - e.g conquest, invasion, slavery"
"8",8,205,"2022-06-07 21:00:28.692587+00","Julius Caesar","regenerating","destructive",0.491111111,"ch2","d8640400-b5a8-40c1-a574-42a7c65cc5db",0.733333333,"Donald Trump","Caesar is famous for ""crossing the rubicon"" and upending the status quo, but... Was the empire better than the republic?"
"9",9,211,"2022-06-10 11:58:59.444407+00","the Fall of the Roman Empire","long-lasting","short-term",0,"ch2","b906d3c7-1d45-486c-89d3-163001db5a17",0,"the End of Nazi Germany","I placed the Fall of the Roman Empire here because ... it has pretty long lasting consequences "
"10",10,213,"2022-06-11 12:12:32.574142+00","the Roman Empire","inclusive","exclusive",0.457948718,"ch2","e6fac804-18da-44bf-b3af-fb48f413f996",0.858974359,"Nazi Germany","I placed the Roman Empire here because ... I find it difficult to compare the two, especially because of the time frame"
"11",11,223,"2022-06-17 10:24:48.072019+00","Hadrian's Wall","benevolent","malevolent",0.737202566,"ch2","b9710603-0bfc-4514-89c7-a866692f285f",0.344328934,"the Anglo-Scottish border","I placed Hadrian's Wall here because ...the Romans were evil"
"12",12,224,"2022-06-17 10:25:08.864956+00","the Fall of the Roman Empire","reassuring","worrying",0.287539348,"ch2","b9710603-0bfc-4514-89c7-a866692f285f",0.918433686,"the End of the British Empire","I placed the Fall of the Roman Empire here because ...the Romans were evil"
"13",13,225,"2022-06-17 10:25:43.675518+00","the Roman Empire","free","controlled",0.722530143,"ch2","b9710603-0bfc-4514-89c7-a866692f285f",0.251020614,"the European Union","I placed the Roman Empire here because ...the EU is far more positive than the Roman Empire"
"14",14,148,"2022-05-30 08:01:16.928974+00","the Fall of the Roman Empire","benevolent","malevolent",0.251851852,"ch2","a94206ed-29e4-4f4e-a8f4-a48c9ac3e7f5",0.837037037,"Brexit","I placed the Fall of the Roman Empire here because it restored local power"
"15",15,150,"2022-05-30 08:02:14.306677+00","the Roman Empire","celebrated","condemned",0.10962963,"ch2","a94206ed-29e4-4f4e-a8f4-a48c9ac3e7f5",0.293333333,"the British Empire","I placed the Roman Empire here because it is even more celebrated than the British Empire"
"16",16,154,"2022-05-30 10:58:37.00419+00","Hadrian's Wall","inclusive","exclusive",0.914650087,"ch2","2b512399-922a-4657-92b2-45b9741320c3",0.087939893,"the Berlin Wall","I placed Hadrian's Wall here because I love it"
"17",17,170,"2022-06-01 13:34:45.174783+00","the Roman Empire","progressive","regressive",0.388148148,"ch2","9de40bec-67cc-4264-95f3-6208562098e9",0.265990397,"the European Union","I placed the Roman Empire here because it was ahead of its time"
"18",18,172,"2022-06-01 13:36:11.504317+00","Boudica","benevolent","malevolent",0.303703704,"ch2","9de40bec-67cc-4264-95f3-6208562098e9",0.796296296,"Margaret Thatcher","I placed Boudica here because I think she was a leader with good intentions for her people"
"19",19,189,"2022-06-05 19:41:04.138749+00","Julius Caesar","heroic","deluded",0.662679036,"ch2","dcd0ca9d-0869-4df5-bced-8a81b7b05aec",1,"Donald Trump","I placed Julius Caesar here because I think he wasn't completely deluded(unlike Trump) there was some heroic deeds he's done(although i'm not sure which which deeds they were) I guess i'm basing this on feeling rather than any facts"
"20",20,191,"2022-06-05 19:52:53.390834+00","Boudica","regenerating","destructive",0.197037037,"ch2","dcd0ca9d-0869-4df5-bced-8a81b7b05aec",0.435555556,"Elizabeth I","I placed Boudica here because she brought the tribes together. But i know very little about her to be honest"
"21",21,195,"2022-06-07 10:36:25.91064+00","Hadrian's Wall","refined","crude",0.286679537,"ch2","c43e0964-0fb7-4225-9b56-eec170c2b1b9",0.745173745,"the Berlin Wall","I placed Hadrian's Wall here because ... today it’s regarded as a cultural asset and a world heritage site"
"22",22,105,"2022-05-28 11:42:47.740121+00","Boudica","celebrated","condemned",0.356,"ch2","2724350a-f0c5-45ca-b349-8d90d35bfdfc",0.084,"Elizabeth I","I placed Boudica here because she is seen as a positive figure"
"23",23,106,"2022-05-28 11:43:20.495197+00","Hadrian's Wall","secure","insecure",0.428,"ch2","2724350a-f0c5-45ca-b349-8d90d35bfdfc",0.3,"the Great Wall of China","I placed Hadrian's Wall here because I consider it slightly less secure than the Great Wall of China"
"24",24,107,"2022-05-28 11:43:53.255879+00","Julius Caesar","native","foreign",0.453333333,"ch2","2724350a-f0c5-45ca-b349-8d90d35bfdfc",0.872,"Jean-Claude Juncker","I placed Julius Caesar here because I am not too sure about his origins"
"25",25,197,"2022-06-07 10:38:46.495097+00","Julius Caesar","progressive","regressive",0.482625483,"ch2","c43e0964-0fb7-4225-9b56-eec170c2b1b9",0.483590734,"Jean-Claude Juncker","I placed Julius Caesar here because ... depends on your point of view. He progressed the Empire but ultimately led to the end of democracy in Rome. Empire building is regressive and old fashioned and harmful."
